Open,High,Low,Close,Datetime
49.15,53,48.65,50.4,24.00-8.00-20.00 10.00:35.00
49.15,53,48.65,50.4,24.00-8.00-20.00 10.00:35.00
47.95,50.75,46.4,48.9,24.00-8.00-20.00 10.00:30.00
49.9,51.2,47.75,47.95,24.00-8.00-20.00 10.00:25.00
45.4,50.85,45.35,50,24.00-8.00-20.00 10.00:20.00
45.5,47,43.2,45.45,24.00-8.00-20.00 10.00:15.00
51.25,52.7,45,45.6,24.00-8.00-20.00 10.00:10.00
48.6,51.7,47,50.75,24.00-8.00-20.00 10.00:5.00
52.25,52.75,47.95,48.2,24.00-8.00-20.00 10.00:0.00
54.65,60.65,51.35,52,24.00-8.00-20.00 9.00:55.00
57,57.5,54.3,54.5,24.00-8.00-20.00 9.00:50.00
64.4,67.2,56.3,57.05,24.00-8.00-20.00 9.00:45.00
70.35,70.8,61.35,64.35,24.00-8.00-20.00 9.00:40.00
80.9,83.15,69.4,70.9,24.00-8.00-20.00 9.00:35.00
88.8,92.7,77.85,80.55,24.00-8.00-20.00 9.00:30.00
88.95,95.7,86.6,89.4,24.00-8.00-20.00 9.00:25.00
88.75,93.1,82.2,89.05,24.00-8.00-20.00 9.00:20.00
95,108.25,84.7,88.55,24.00-8.00-20.00 9.00:15.00
122.6,126.3,122.05,124.65,24.00-8.00-19.00 15.00:25.00
117.3,125.6,117.3,122.7,24.00-8.00-19.00 15.00:20.00
124.6,124.7,115,117.95,24.00-8.00-19.00 15.00:15.00
124.5,131.5,121.65,124.75,24.00-8.00-19.00 15.00:10.00
119.85,129.2,119.6,123.3,24.00-8.00-19.00 15.00:5.00
113.8,122.45,113.8,119.05,24.00-8.00-19.00 15.00:0.00
110.85,114.4,106.65,113.5,24.00-8.00-19.00 14.00:55.00
115.6,115.95,108.45,110.2,24.00-8.00-19.00 14.00:50.00
113.35,115.8,111.2,115.35,24.00-8.00-19.00 14.00:45.00
114.35,117.4,109.95,113.1,24.00-8.00-19.00 14.00:40.00
118.35,118.45,113.25,113.55,24.00-8.00-19.00 14.00:35.00
113.95,125,112.35,118.15,24.00-8.00-19.00 14.00:30.00
116.9,119.9,113.4,113.4,24.00-8.00-19.00 14.00:25.00
124,127.3,116.15,116.5,24.00-8.00-19.00 14.00:20.00
130.55,130.75,122.05,124.35,24.00-8.00-19.00 14.00:15.00
126.6,133.7,125.7,130.25,24.00-8.00-19.00 14.00:10.00
129.4,131.25,123.35,126.7,24.00-8.00-19.00 14.00:5.00
134.35,139.45,126.2,129.65,24.00-8.00-19.00 14.00:0.00
128.7,141.3,128,134.25,24.00-8.00-19.00 13.00:55.00
141.6,146.1,128.2,128.95,24.00-8.00-19.00 13.00:50.00
142.9,153.45,138.65,140.1,24.00-8.00-19.00 13.00:45.00
140.75,146.9,137.3,143.05,24.00-8.00-19.00 13.00:40.00
133.35,144.7,131.3,141,24.00-8.00-19.00 13.00:35.00
141.35,141.35,129.45,133.4,24.00-8.00-19.00 13.00:30.00
126,139,123.9,139,24.00-8.00-19.00 13.00:25.00
112.65,126.35,111.35,125.8,24.00-8.00-19.00 13.00:20.00
117.1,117.1,108.6,112.75,24.00-8.00-19.00 13.00:15.00
124.55,125.4,116.05,117.1,24.00-8.00-19.00 13.00:10.00
121,125.2,118.25,124.3,24.00-8.00-19.00 13.00:5.00
127.4,127.55,115.6,120.65,24.00-8.00-19.00 13.00:0.00
122.2,129.75,121.35,126.8,24.00-8.00-19.00 12.00:55.00
129.25,131.75,121.6,121.9,24.00-8.00-19.00 12.00:50.00
136.5,138.45,127.35,129.3,24.00-8.00-19.00 12.00:45.00
135.65,138.45,130.15,136.55,24.00-8.00-19.00 12.00:40.00
143,145.1,134.55,135.4,24.00-8.00-19.00 12.00:35.00
147,149.3,133.2,143.05,24.00-8.00-19.00 12.00:30.00
138.4,148.6,138.4,147.45,24.00-8.00-19.00 12.00:25.00
135.1,145.85,132.5,137.9,24.00-8.00-19.00 12.00:20.00
138.45,143.8,134.35,135.3,24.00-8.00-19.00 12.00:15.00
134.1,141.8,134,138.5,24.00-8.00-19.00 12.00:10.00
128.65,134.45,125.9,133.4,24.00-8.00-19.00 12.00:5.00
127.65,142.85,126.6,129.15,24.00-8.00-19.00 12.00:0.00
130,132.8,124.9,127.7,24.00-8.00-19.00 11.00:55.00
132.6,139.15,129,129.8,24.00-8.00-19.00 11.00:50.00
128.3,139.75,125.55,132.7,24.00-8.00-19.00 11.00:45.00
126.9,133.25,122.1,128.2,24.00-8.00-19.00 11.00:40.00
125.7,132.3,117.45,126.3,24.00-8.00-19.00 11.00:35.00
125.1,130,119.85,126.75,24.00-8.00-19.00 11.00:30.00
137,139.75,125.4,125.4,24.00-8.00-19.00 11.00:25.00
142.65,142.65,126.15,137.95,24.00-8.00-19.00 11.00:20.00
157.65,161.55,130.1,143.2,24.00-8.00-19.00 11.00:15.00
172.25,175.6,156,156.1,24.00-8.00-19.00 11.00:10.00
163.7,174.55,160.35,173.4,24.00-8.00-19.00 11.00:5.00
156.6,179.75,152,165.25,24.00-8.00-19.00 11.00:0.00
158.1,160,151.2,157,24.00-8.00-19.00 10.00:55.00
153.7,164.5,153.15,157.2,24.00-8.00-19.00 10.00:50.00
147.65,160.55,142.45,153.6,24.00-8.00-19.00 10.00:45.00
157.9,162.15,144.4,148.35,24.00-8.00-19.00 10.00:40.00
159.8,160.65,148.15,157.4,24.00-8.00-19.00 10.00:35.00
155.95,162.45,139.95,160.3,24.00-8.00-19.00 10.00:30.00
150.05,170,148,156.65,24.00-8.00-19.00 10.00:25.00
141.6,152.45,137.2,150.35,24.00-8.00-19.00 10.00:20.00
136.05,146.5,129.1,142.05,24.00-8.00-19.00 10.00:15.00
123.65,140,122.55,135.6,24.00-8.00-19.00 10.00:10.00
125.95,129.95,118.3,123.75,24.00-8.00-19.00 10.00:5.00
124.65,129.5,114.9,125.95,24.00-8.00-19.00 10.00:0.00
131.6,137.5,124.3,124.9,24.00-8.00-19.00 9.00:55.00
117.75,136,116,131.85,24.00-8.00-19.00 9.00:50.00
112.9,118.15,106.55,117.85,24.00-8.00-19.00 9.00:45.00
119.25,119.5,107.3,113.5,24.00-8.00-19.00 9.00:40.00
119.25,128.5,116.2,119.95,24.00-8.00-19.00 9.00:35.00
