Open,High,Low,Close,Datetime
"24,722.95","24,727.75","24,717.00","24,725.65",24.00-8.00-20.00 10.00:15.00
"24,722.95","24,727.75","24,717.00","24,725.65",24.00-8.00-20.00 10.00:15.00
"24,722.95","24,727.75","24,717.00","24,725.65",24.00-8.00-20.00 10.00:15.00
"24,669.45","24,725.80","24,658.80","24,722.60",24.00-8.00-20.00 9.00:45.00
"24,660.30","24,676.90","24,607.20","24,669.75",24.00-8.00-20.00 9.00:15.00
"24,571.25","24,590.30","24,570.60","24,579.00",24.00-8.00-19.00 15.00:15.00
"24,586.00","24,592.35","24,562.45","24,571.45",24.00-8.00-19.00 14.00:45.00
"24,573.20","24,591.55","24,566.90","24,586.30",24.00-8.00-19.00 14.00:15.00
"24,557.40","24,581.45","24,543.85","24,572.35",24.00-8.00-19.00 13.00:45.00
"24,590.90","24,605.10","24,553.10","24,557.35",24.00-8.00-19.00 13.00:15.00
"24,570.10","24,592.90","24,567.65","24,590.45",24.00-8.00-19.00 12.00:45.00
"24,569.70","24,579.95","24,552.25","24,570.40",24.00-8.00-19.00 12.00:15.00
"24,583.45","24,596.65","24,561.15","24,570.00",24.00-8.00-19.00 11.00:45.00
"24,544.45","24,598.00","24,542.70","24,583.05",24.00-8.00-19.00 11.00:15.00
"24,565.10","24,570.60","24,522.95","24,543.95",24.00-8.00-19.00 10.00:45.00
"24,579.10","24,590.20","24,541.60","24,565.40",24.00-8.00-19.00 10.00:15.00
"24,615.35","24,625.05","24,566.00","24,580.45",24.00-8.00-19.00 9.00:45.00
"24,636.80","24,638.80","24,576.25","24,615.90",24.00-8.00-19.00 9.00:15.00
"24,554.15","24,561.30","24,537.45","24,539.20",24.00-8.00-16.00 15.00:15.00
"24,482.00","24,563.90","24,477.50","24,554.35",24.00-8.00-16.00 14.00:45.00
"24,514.95","24,516.70","24,473.25","24,481.05",24.00-8.00-16.00 14.00:15.00
"24,465.25","24,518.20","24,462.55","24,516.00",24.00-8.00-16.00 13.00:45.00
"24,442.40","24,469.95","24,427.65","24,466.00",24.00-8.00-16.00 13.00:15.00
"24,434.85","24,459.10","24,413.35","24,442.80",24.00-8.00-16.00 12.00:45.00
"24,419.95","24,452.25","24,389.20","24,434.30",24.00-8.00-16.00 12.00:15.00
"24,331.95","24,440.40","24,330.65","24,419.80",24.00-8.00-16.00 11.00:45.00
"24,233.90","24,339.95","24,227.85","24,333.15",24.00-8.00-16.00 11.00:15.00
