Open,High,Low,Close,Datetime
"5,557.23","5,608.30","5,550.74","5,608.24",24.00-8.00-19.00 9.00:30.00
"5,557.23","5,608.30","5,550.74","5,608.24",24.00-8.00-19.00 9.00:30.00
"5,557.23","5,608.30","5,550.74","5,608.24",24.00-8.00-19.00 9.00:30.00
"5,557.23","5,608.30","5,550.74","5,608.24",24.00-8.00-19.00 9.00:30.00
"5,376.98","5,436.50","5,376.98","5,434.44",24.00-8.00-13.00 9.00:30.00
"5,557.23","5,608.30","5,550.74","5,608.24",24.00-8.00-19.00 9.00:30.00
"5,557.23","5,608.30","5,550.74","5,608.24",24.00-8.00-19.00 9.00:30.00
"5,557.23","5,608.30","5,550.74","5,608.24",24.00-8.00-19.00 9.00:30.00
"5,557.23","5,608.30","5,550.74","5,608.24",24.00-8.00-19.00 9.00:30.00
"5,530.50","5,561.98","5,525.17","5,554.26",24.00-8.00-16.00 9.00:30.00
"5,501.13","5,546.23","5,501.13","5,543.21",24.00-8.00-15.00 9.00:30.00
"5,442.36","5,463.22","5,415.91","5,455.20",24.00-8.00-14.00 9.00:30.00
"5,376.98","5,436.50","5,376.98","5,434.44",24.00-8.00-13.00 9.00:30.00
"5,351.88","5,371.20","5,324.37","5,344.38",24.00-8.00-12.00 9.00:30.00
"5,314.66","5,358.67","5,300.84","5,344.15",24.00-8.00-9.00 9.00:30.00
"5,252.57","5,328.03","5,233.85","5,319.30",24.00-8.00-8.00 9.00:30.00
"5,293.13","5,330.64","5,195.54","5,199.51",24.00-8.00-7.00 9.00:30.00
"5,206.42","5,312.34","5,193.56","5,240.04",24.00-8.00-6.00 9.00:30.00
"5,151.14","5,250.89","5,119.26","5,186.34",24.00-8.00-5.00 9.00:30.00
"5,376.63","5,383.89","5,302.03","5,346.55",24.00-8.00-2.00 9.00:30.00
"5,537.84","5,566.16","5,410.42","5,446.69",24.00-8.00-1.00 9.00:30.00
"5,505.59","5,551.51","5,493.75","5,522.29",24.00-7.00-31.00 9.00:30.00
"5,478.73","5,489.46","5,401.70","5,436.45",24.00-7.00-30.00 9.00:30.00
"5,476.55","5,487.74","5,444.44","5,463.55",24.00-7.00-29.00 9.00:30.00
"5,433.67","5,488.32","5,430.70","5,459.09",24.00-7.00-26.00 9.00:30.00
"5,428.70","5,491.59","5,390.95","5,399.23",24.00-7.00-25.00 9.00:30.00
"5,505.84","5,508.04","5,419.98","5,427.12",24.00-7.00-24.00 9.00:30.00
"5,565.30","5,585.34","5,550.90","5,555.75",24.00-7.00-23.00 9.00:30.00
"5,544.54","5,570.36","5,529.04","5,564.40",24.00-7.00-22.00 9.00:30.00
"5,543.37","5,557.50","5,497.04","5,504.99",24.00-7.00-19.00 9.00:30.00
"5,608.56","5,614.05","5,522.81","5,544.58",24.00-7.00-18.00 9.00:30.00
"5,610.07","5,622.49","5,584.81","5,588.28",24.00-7.00-17.00 9.00:30.00
"5,644.09","5,669.67","5,639.02","5,667.21",24.00-7.00-16.00 9.00:30.00
"5,638.16","5,666.94","5,614.75","5,631.21",24.00-7.00-15.00 9.00:30.00
"5,590.76","5,655.56","5,590.44","5,615.34",24.00-7.00-12.00 9.00:30.00
"5,635.21","5,642.45","5,576.53","5,584.55",24.00-7.00-11.00 9.00:30.00
"5,591.26","5,635.39","5,586.44","5,633.92",24.00-7.00-10.00 9.00:30.00
"5,584.24","5,590.75","5,574.57","5,576.97",24.00-7.00-9.00 9.00:30.00
"5,572.75","5,583.11","5,562.51","5,572.86",24.00-7.00-8.00 9.00:30.00
"5,537.91","5,570.33","5,531.63","5,567.20",24.00-7.00-5.00 9.00:30.00
"5,507.44","5,539.27","5,507.42","5,537.01",24.00-7.00-3.00 9.00:30.00
"5,461.84","5,509.69","5,458.43","5,509.02",24.00-7.00-2.00 9.00:30.00
"5,471.08","5,479.55","5,446.53","5,475.10",24.00-7.00-1.00 9.00:30.00
"5,488.48","5,523.64","5,451.12","5,460.49",24.00-6.00-28.00 9.00:30.00
"5,473.59","5,490.81","5,467.54","5,482.88",24.00-6.00-27.00 9.00:30.00
"5,460.71","5,483.14","5,451.87","5,477.91",24.00-6.00-26.00 9.00:30.00
"5,460.73","5,472.88","5,446.56","5,469.29",24.00-6.00-25.00 9.00:30.00
"5,459.58","5,490.66","5,447.59","5,447.88",24.00-6.00-24.00 9.00:30.00
"5,466.77","5,478.31","5,452.03","5,464.61",24.00-6.00-21.00 9.00:30.00
"5,499.99","5,505.53","5,455.56","5,473.16",24.00-6.00-20.00 9.00:30.00
"5,476.15","5,490.38","5,471.32","5,487.02",24.00-6.00-18.00 9.00:30.00
"5,431.11","5,488.50","5,420.40","5,473.24",24.00-6.00-17.00 9.00:30.00
"5,424.08","5,432.39","5,403.75","5,431.61",24.00-6.00-14.00 9.00:30.00
"5,441.93","5,441.93","5,402.51","5,433.75",24.00-6.00-13.00 9.00:30.00
"5,409.13","5,447.25","5,409.13","5,421.02",24.00-6.00-12.00 9.00:30.00
"5,353.00","5,375.95","5,327.25","5,375.31",24.00-6.00-11.00 9.00:30.00
"5,341.22","5,365.79","5,331.52","5,360.78",24.00-6.00-10.00 9.00:30.00
"5,343.81","5,375.08","5,331.33","5,346.98",24.00-6.00-7.00 9.00:30.00
"5,357.80","5,362.35","5,335.36","5,352.95",24.00-6.00-6.00 9.00:30.00
"5,314.48","5,354.16","5,297.64","5,354.04",24.00-6.00-5.00 9.00:30.00
